Name,Suburb,Latitude,Longitude,Address,ContactNumber,Rating,Website
Box Hill Family Clinic,Box Hill,-37.8199525,145.1147589,"420 Elgar Rd, Box Hill VIC 3128, Australia",(03) 9899 2425,2.3,http://www.bhclinic.com.au/
Box Hill Superclinic,Box Hill,-37.8174711,145.1151342,"810 Whitehorse Rd, Box Hill VIC 3128, Australia",(03) 9899 8668,3,http://boxhillsuperclinic.com.au/
After Hours GP Clinic,Box Hill North,-37.8144,145.118028,"36 Wellington Rd, Box Hill VIC 3128, Australia",(03) 8820 7500,3.1,http://www.ahgpc.com.au/
Nourishlife Chinese Medicine Acupuncture/Traditional Chinese Medicine Fertility and Pain Specialist,Braybrook,-37.8416506,144.8828136,"423 Melbourne Rd, Newport VIC 3015, Australia",0439 841 413,NULL,http://www.nourishlife.biz/
Dr Silvia Russo (Chinese Medicine) at Chi Temple Natural Therapies,Braybrook,-37.777561,144.911426,"152C Epsom Rd, Ascot Vale VIC 3032, Australia",(03) 9370 8885,NULL,http://www.chitemple.com.au/
Jade Bamboo Traditional Chinese Medicine,Braybrook,-37.8060531,144.9554422,"183 Victoria St, West Melbourne VIC 3003, Australia",0411 580 010,NULL,NULL
Dr Sean Acupuncture&Herbal Clinic,Braybrook,-37.813333,144.972929,"Room6 L2 20Collins St, Melbourne VIC 3000, Australia",(03) 8590 8080,5,NULL
Bio Functional Medicine,Brunswick,-37.7639977,144.9733001,"446 Lygon St, Brunswick East VIC 3057, Australia",(03) 9387 2777,3.8,http://biofunctionalmedicine.com.au/
Lucinda Curran,Brunswick,-37.789954,144.972116,"366a Rathdowne St, Carlton North VIC 3054, Australia",0488 377 466,5,http://ecohealthsolutions.com.au/
Dr Helen Georgiou,Brunswick East,-37.7873312,144.9716599,"130 Fenwick St, Carlton North VIC 3054, Australia",(03) 9347 0940,5,NULL
Kotan Japanese Acupuncture Clinic,Brunswick East,-37.7979658,144.9730858,"51 Elgin St, Carlton VIC 3053, Australia",(03) 9349 3494,4.5,http://www.kotan.com.au/
Always Healthy and Happy Integrative Medicine,Bulleen,-37.7437934,145.0640029,"78 Lower Plenty Rd, Rosanna VIC 3084, Australia",0422 321 052,5,http://hnh.id.au/
Inner Balance Health Clinic,Bundoora,-37.663247,145.056727,"264 Childs Rd, Mill Park VIC 3082, Australia",(03) 9437 9555,4.5,http://www.innerbalancehealthclinics.com.au/
Dr David L. Edwards (Chinese Medicine),Bundoora,-37.699341,145.032553,"58 Gertz Ave, Reservoir VIC 3073, Australia",(03) 9462 0585,4.5,http://barefootwellness.com.au/meet-david-edwards/
"Silk Tree Chinese Medicine - Acupuncture Reservoir - Fertility, IVF, Pain Relief",Bundoora,-37.719304,144.993032,"757b Gilbert Rd, Reservoir VIC 3073, Australia",(03) 9478 3017,5,http://www.silktreechinesemedicine.com.au/
Grimshaw Street Medical Clinic- Dr Lee PH,Bundoora,-37.700369,145.059456,"585-587 Grimshaw St, Bundoora VIC 3083, Australia",(03) 9467 5541,2,http://grimshawstclinic.com/
Natural Wellness Chinese Medicine,Burwood,-37.863993,145.1309,"135 Stephensons Rd, Mount Waverley VIC 3149, Australia",0435 783 471,NULL,http://www.nwchinesemedicine.com.au/
Confidence Chinese Medicine Centre,Burwood East,-37.8616051,145.1500206,"59 Blackburn Rd, Mount Waverley VIC 3149, Australia",(03) 8838 8529,5,http://www.ccmc.ntpages.com.au/
Middleborough Dental Care,Burwood East,-37.8429506,145.1336902,"147 Middleborough Rd, Box Hill South VIC 3128, Australia",(03) 9808 0207,4.9,http://www.middleboroughdental.com.au/
Ren Jih Tang,Cairnlea,-37.742308,144.799551,"Shop, 5 Victoria Square, St Albans VIC 3021, Australia",(03) 9362 1788,NULL,NULL
Chinese Medicine Studio,Cairnlea,-37.881309,144.685267,"118 Warringa Cres, Hoppers Crossing VIC 3029, Australia",0417 311 406,NULL,http://www.chinesemedicinestudio.com.au/
Masters of TCM,Camberwell,-37.830824,145.054182,"435 Riversdale Rd, Hawthorn East VIC 3123, Australia",(03) 9882 2255,5,http://www.mastersoftcm.com.au/
Plus Plus Clinic,Canterbury,-37.8236473,145.0456423,"645 Burwood Rd, Hawthorn East VIC 3123, Australia",(03) 9939 6509,4,http://www.plusplusclinic.com.au/
City Chinese Medicine,Carlton,-37.812962,144.97292,"Suite 51, 4th floor/12 Collins St, Melbourne VIC 3000, Australia",(03) 9639 2254,5,https://citychinesemedicine.business.site/
Shen Chinese Massage and Acupuncture,Carlton,-37.8069856,144.9570339,"87-89 Victoria St, Melbourne VIC 3000, Australia",0401 419 899,5,http://www.shenchinesemedicine.com.au/
City Dental Care,Carlton,-37.8162538,144.9532486,"7/200 Spencer St, Melbourne VIC 3000, Australia",(03) 9600 1123,3.1,http://www.citydentalcare.com.au/
Melbourne City Medical Centre,Carlton,-37.8093079,144.9700545,"68 Lonsdale St, Melbourne VIC 3000, Australia",(03) 9639 9600,2.6,http://www.melbournecitymedical.com.au/
Melbourne Sexual Health Centre,Carlton,-37.8031414,144.9638599,"580 Swanston St, Carlton VIC 3053, Australia",(03) 9341 6200,4.6,http://www.mshc.org.au/
"Melbourne Chinese Medicine & Acupuncture - IVF, Fertility, Pregnancy, Endometriosis.",Carnegie,-37.904093,145.044226,"569 North Rd, Ormond VIC 3204, Australia",(03) 9578 4912,5,http://melbournechinesemedicine.com.au/
Embrace Health - Chinese Medicine Clinic,Caroline Springs,-37.578412,144.718864,"Thornton Ave, Sunbury VIC 3429, Australia",0417 056 408,5,http://www.embracehealth.net.au/
Sunbury and Moonee Valley Chinese Medicine,Caroline Springs,-37.580924,144.729588,"5 Link Arcade, Sunbury VIC 3429, Australia",(03) 9740 3300,5,https://sunbury-and-moonee-valley-chinese-medicine.business.site/
Dr Chris Eddy Melbourne Acupuncture Clinic,Caroline Springs,-37.8155951,144.9627808,"712/365 Little Collins St, Melbourne VIC 3000, Australia",(03) 8676 0599,5,http://acupuncturemelb.com.au/
Yellow River Chinese Medicine Clinic,Caroline Springs,-37.387322,144.990752,"11 Siena Way, Wallan VIC 3756, Australia",0421 044 928,NULL,NULL
My Acupuncture Clinic - Chinese Medicine Fertility and IVF Support Centre,Chadstone,-37.902339,145.107389,"1572 Dandenong Rd, Oakleigh East VIC 3166, Australia",(03) 9543 3866,5,http://myacupuncture.com.au/
Healing Traditions,Chirnside Park,-37.774811,145.287541,"4/6 Patrick Ave, Croydon North VIC 3136, Australia",0402 249 039,NULL,http://healingtraditions.com.au/
Healesville Chinese Medicine,Chirnside Park,-37.6539775,145.5156581,"205A Maroondah Hwy, Healesville VIC 3777, Australia",(03) 5962 1097,5,http://www.healesvillechinesemedicine.com/
The Sun Chinese Medicine & Acupunture Centre,Clayton South,-37.91185,145.052055,"227 Tucker Rd, McKinnon VIC 3204, Australia",(03) 9578 4449,NULL,NULL
Collins Place Medical Clinic,Collingwood,-37.814352,144.971283,"Level 3, Harley House/71 Collins Street, Melbourne VIC 3000, Australia",(03) 9650 4218,3.8,http://www.cpmc.com.au/
Croydon Medical Clinic,Croydon,-37.80848,145.2887105,"407 Dorset Rd, Croydon VIC 3136, Australia",(03) 9722 9200,3.7,http://www.croydonmedicalclinic.com/
Hawthorn Eye Clinic - Dr Mark F. Ellis AM,Deepdene,-37.8145175,145.0365465,"829 Glenferrie Rd, Kew VIC 3101, Australia",(03) 9819 2882,4,http://www.hawthorneyeclinic.com.au/
Diana Lui Chinese Medicine,Deer Park,-37.863118,144.900998,"32 Parker St, Williamstown VIC 3016, Australia",(03) 9397 8891,NULL,http://www.kenshoclinic.com/
Melbourne North Medical Clinic,Docklands,-37.8042088,144.9581266,"2/605 Elizabeth St, Melbourne VIC 3000, Australia",(03) 9328 3383,3.2,NULL
Dr. Christine Cui Fertility Acupuncture Clinic,Docklands,-37.844594,144.979314,"1/517 St Kilda Rd, Melbourne VIC 3004, Australia",(03) 9820 8651,4.3,https://www.medccc.com.au/
MC Dental,Docklands,-37.8104282,144.962859,"Central Shopping Centre, shop 254 level 2/211 La Trobe St, Melbourne VIC 3000, Australia",(03) 8608 8968,4.3,http://www.mcdental.com.au/
Melbourne Natural Wellness,Docklands,-37.804972,144.951951,"Level 1/49 Chetwynd St, North Melbourne VIC 3051, Australia",(03) 9686 2566,3.9,http://www.melbournenaturalwellness.com.au/
Jackson Court Clinic,Doncaster East,-37.7888754,145.1486619,"68 Jackson Ct, Doncaster East, Melbourne VIC 3109, Australia",(03) 9855 8655,3.6,http://www.drthompsonassociates.com.au/index.php
Qiong Huang Dental,Doncaster East,-37.789593,145.16283,"1032 Doncaster Rd, Doncaster East VIC 3109, Australia",(03) 9841 6608,3.1,http://www.qionghuangdental.com.au/
Daniel Godel,Epping,-37.789954,144.972116,"366 Rathdowne St, Carlton North VIC 3054, Australia",(03) 9349 2677,NULL,https://ecohealthsolutions.com.au/danielgodel/contact/
Natural Harmony Traditional Chinese Medicine,Essendon,-37.745978,144.910702,"1, 1059 Mt Alexander Rd, Essendon VIC 3040, Australia",(03) 8383 6500,4.4,http://www.naturalharmonytcm.com.au/
Inner West Health Clinic,Footscray,-37.805208,144.892172,"87 Victoria St, Seddon VIC 3011, Australia",(03) 9078 2455,5,http://www.innerwesthealthclinic.com.au/
Back At Ease Chiropractic Clinic,Footscray,-37.7987708,144.8909966,"348 Barkly St, Footscray VIC 3011, Australia",(03) 8609 1904,5,http://footscraychiropractor.com.au/
Nanjing Chinese Medicine Centre,Frankston,-38.2362291,145.0368598,"882 Nepean Hwy, Mornington VIC 3931, Australia",(03) 5975 8168,NULL,http://nanjingtraditionalchinesemedecinecentre.myob.net/news/contact-us/1509
Peninsula Chinese Medical Centre,Frankston,-38.1518634,145.1643126,"202 Karingal Dr, Frankston VIC 3199, Australia",(03) 8790 8350,NULL,http://www.peninsulachinesemedicine.com/
Bayside Chinese Medicine,Frankston,-38.136168,145.1235138,"374 Nepean Hwy, Frankston VIC 3199, Australia",0418 327 892,3,http://www.baysidechinesemedicine.com/
Peninsula Acupuncture & Natural Medicine,Frankston,-38.2269515,145.0428321,"321 Main St, Mornington VIC 3931, Australia",(03) 5973 4116,5,http://www.peninsula-acupuncture.com.au/
Fertile Life - Kirsten Wolfe - Mornington Peninsula Fertility Acupuncture- - MCM,Frankston,-38.225516,145.047893,"138 Tanti Ave, Mornington VIC 3931, Australia",(03) 5973 6886,NULL,http://www.fertilelife.com.au/
Peninsula Acupuncture & Natural Medicine,Frankston,-38.343673,145.063311,"15 One Chain Rd, Merricks North VIC 3926, Australia",(03) 5973 4116,NULL,http://www.peninsula-acupuncture.com.au/
Patterson Allied Health,Frankston,-38.0681813,145.1426707,"21 Thompson Road, Shop 7 Harbour Plaza, Patterson Lakes VIC 3197, Australia",(03) 9776 1600,NULL,http://www.pattersonalliedhealth.com.au/
Glen Waverley General Practice,Glen Waverley,-37.8727689,145.1506374,"598 High St Rd, Glen Waverley VIC 3150, Australia",(03) 9802 9101,NULL,NULL
First Health Medical Centre,Hampton Park,-38.0353569,145.2669598,"77-79 Hallam Rd, Hampton Park VIC 3976, Australia",(03) 9799 6299,2.7,http://www.firsthealth.net.au/
Outlook Matters Psychology,Heidelberg,-37.7461018,145.0520654,"45 Haig St, Heidelberg Heights VIC 3081, Australia",(03) 9457 4327,5,http://www.outlookmatters.com.au/
"A+ Chinese Medicine Clinic (Acupuncture, Massage,Herbal Medicine)",Hoppers Crossing,-37.9014421,144.6605544,"2/28 Watton St, Werribee VIC 3030, Australia",(03) 9741 8068,4.8,NULL
Serenity Chinese Medicine,Hoppers Crossing,-37.88632,144.701061,"Wyndham Private Medical Centre., L1, 242 Hoppers Ln, Werribee VIC 3030, Australia",(03) 9908 2998,NULL,http://serenitycm.com.au/
Acupuncture Clinic for Fertility and IVF Support,Huntingdale,-37.9024366,145.1073645,"1572 Princes Hwy, Oakleigh East VIC 3166, Australia",(03) 9543 3866,NULL,http://www.myacupuncture.com.au/
Strive For Health Clinic,Keilor East,-37.7325736,144.8511355,"shop 32/54 Commercial Pl, Keilor East VIC 3033, Australia",(03) 9331 5555,5,http://striveforhealthclinic.com/
Chi Temple Natural Therapies,Kensington,-37.7859885,144.9220597,"24 Ascot Vale Rd, Flemington VIC 3031, Australia",(03) 9376 4666,5,http://www.chitemple.com.au/
Victoria Street Acupuncture & Medical Clinic - Dr Jagoda John,Kensington,-37.805095,144.951704,"436 Victoria St, North Melbourne VIC 3051, Australia",(03) 9328 4034,3.9,http://www.vmac.com.au/
Zen5,Maribyrnong,-37.7726442,144.8895228,"2120/120-200 Rosamond Rd, Maribyrnong VIC 3032, Australia",(03) 9317 5563,3.5,http://www.zen5.com.au/
The Victorian Laser & Skin Clinic,Melbourne,-37.81552,144.965749,"1/234 Collins St, Melbourne VIC 3000, Australia",(03) 9639 1972,4.7,https://www.viclaser.com.au/laser-hair-skin-clinic-melbourne/
Bundoora Family Clinic,Mill Park,-37.679436,145.0715976,"g01/12 Ormond Blvd, Bundoora VIC 3083, Australia",(03) 9467 7433,3.2,http://www.myclinic.com.au/
RMIT University Chiropractic Clinic,Mill Park,-37.6822702,145.0728512,"RMIT University, 30 Janefield Dr, Bundoora VIC 3083, Australia",(03) 9925 7666,NULL,http://www.rmit.edu.au/about/our-locations-and-facilities/services/health-clinics/health-sciences-clinic/chiropractic/
Eastern Spinal,Mitcham,-37.8156645,145.2014003,"595 Whitehorse Rd, Mitcham VIC 3132, Australia",(03) 9873 3666,4.2,http://easternspinal.com/
Emperor's Acupuncture,Moonee Ponds,-37.7647839,144.9202802,"8 Eddy St, Moonee Ponds VIC 3039, Australia",(03) 9988 1928,5,http://emperorsacupuncture.com.au/
Mt Eliza Herbal,Mount Eliza,-38.198412,145.100254,"306 Canadian Bay Rd, Mount Eliza VIC 3930, Australia",(03) 9787 8476,5,http://www.mtelizaherbal.com/
Primary Psychology Frankston,Mount Eliza,-38.1452231,145.1240027,"3 97/89 Young St, Frankston VIC 3199, Australia",(03) 9771 8111,NULL,http://www.1800bulkbill.com.au/medical-centre/young-street-medical-dental-centre-frankston
Lipman Clinic,Mount Waverley,-37.8749322,145.1264399,"63 Wadham Parade, Mount Waverley VIC 3149, Australia",(03) 9888 3239,NULL,http://andrewlipman.com.au/
Balcombe Road Dental Mentone,Parkdale,-37.981966,145.068601,"29 Balcombe Rd, Mentone VIC 3194, Australia",(03) 9583 1015,5,http://balcomberoaddental.com/
Calmia Acupuncture & Herbal Medicine Clinic,Point Cook,-37.8568468,144.9837372,"The Junction Business Centre Suite 303b/22 St Kilda Road, St Kilda VIC 3182, Australia",(03) 9078 1494,5,http://www.calmia.com.au/
Melbourne Acupuncture,Prahran,-37.839076,144.99032,"206/122 Toorak Rd, South Yarra VIC 3141, Australia",(03) 9804 5775,5,http://www.acupuncture.melbourne/
Traditional Chinese Medicine,Prahran,-37.8473536,144.9937142,"Pran Central Shopping Centre, 55/325 Chapel St, Prahran VIC 3181, Australia",(03) 9533 8881,3,http://www.tcmaustralia.com.au/contact
Myhealth Medical Eastland,Ringwood,-37.8121762,145.2278213,"Eastland Shopping Centre, 3003/171-175 Maroondah Highway, Ringwood VIC 3134, Australia",(03) 8080 1388,4.5,http://myhealth.net.au/eastland
Heidelberg Chinese Medicine,Rosanna,-37.756458,145.066117,"119 Burgundy St, Heidelberg VIC 3084, Australia",(03) 9457 3887,5,http://www.heidelbergchinesemedicine.com.au/
South Melbourne Acupuncture & Massage,South Melbourne,-37.8314231,144.9563296,"166 York St, South Melbourne VIC 3205, Australia",0401 419 899,NULL,http://www.shenchinesemedicine.com.au
Shen Chinese Massage and Acupuncture - Port Melbourne,South Melbourne,-37.839594,144.941015,"163 Bay St, Port Melbourne VIC 3207, Australia",(03) 9041 7110,2,http://www.shenchinesemedicine.com.au/
South Melbourne Family Practice,South Melbourne,-37.830855,144.9573691,"level 1/111 Cecil St, South Melbourne VIC 3205, Australia",(03) 9284 3400,2.8,https://southmelbournefamilypractice.com.au/
Wind Water Health,Southbank,-37.8356555,144.9667996,"129 Eastern Rd, South Melbourne VIC 3205, Australia",(03) 9690 3013,5,http://www.windwaterhealth.com.au/
Ping Ming Health Melbourne,Southbank,-37.81803,144.964712,"7/1 Elizabeth St, Melbourne VIC 3000, Australia",(03) 9629 9920,4.7,http://www.pingminghealth.com/melbourne/
"Dr Paul Carter, Acupuncturist & Herbalist",Southbank,-37.835792,144.960493,"231-233 Park St, South Melbourne VIC 3205, Australia",(03) 9690 1155,5,https://www.acupunctureaustralia.com.au/
Catherine Kato Eltham Acupuncture,Templestowe,-37.7140648,145.1634325,"51 Wycliffe Cres, Eltham VIC 3095, Australia",0413 325 747,5,http://www.elthamacupuncture.com.au/
Tarneit Road Health Clinic,Werribee,-37.8889087,144.6611727,"10/167-179 Shaws Rd, Werribee VIC 3030, Australia",(03) 8742 3002,5,NULL
Palmers Medical Centre,Williams Landing,-37.853548,144.744323,"228A Sayers Rd, Truganina VIC 3029, Australia",(03) 9908 2555,3.1,http://www.palmersmedical.com.au/
