Year,Suburb,Buy Price
2011,CRESWICK,225000
2012,CRESWICK,245000
2013,CRESWICK,245000
2014,CRESWICK,270000
2015,CRESWICK,265000
2016,CRESWICK,292500
2017,CRESWICK,311500
2007,CRIB POINT,240000
2008,CRIB POINT,256500
2009,CRIB POINT,279000
2010,CRIB POINT,347500
2011,CRIB POINT,330000
2012,CRIB POINT,350000
2013,CRIB POINT,355000
2014,CRIB POINT,339000
2015,CRIB POINT,350000
2016,CRIB POINT,403500
2017,CRIB POINT,502500
2007,CROYDON,353000
2008,CROYDON,370500
2009,CROYDON,396500
2010,CROYDON,465000
2011,CROYDON,465000
2012,CROYDON,450000
2013,CROYDON,470000
2014,CROYDON,525000
2015,CROYDON,605000
2016,CROYDON,695000
2017,CROYDON,791000
2007,CROYDON HILLS,420000
2008,CROYDON HILLS,440000
2009,CROYDON HILLS,475500
2010,CROYDON HILLS,549500
2011,CROYDON HILLS,532000
2012,CROYDON HILLS,538000
2013,CROYDON HILLS,571500
2014,CROYDON HILLS,606000
2015,CROYDON HILLS,697000
2016,CROYDON HILLS,730000
2017,CROYDON HILLS,870000
2007,CROYDON NORTH,395000
2008,CROYDON NORTH,438000
2009,CROYDON NORTH,471000
2010,CROYDON NORTH,527500
2011,CROYDON NORTH,505500
2012,CROYDON NORTH,520000
2013,CROYDON NORTH,540500
2014,CROYDON NORTH,600000
2015,CROYDON NORTH,702500
2016,CROYDON NORTH,791500
2017,CROYDON NORTH,870000
2007,CROYDON SOUTH,318500
2008,CROYDON SOUTH,360000
2009,CROYDON SOUTH,390500
2010,CROYDON SOUTH,455000
2011,CROYDON SOUTH,435500
2012,CROYDON SOUTH,436500
2013,CROYDON SOUTH,442000
2014,CROYDON SOUTH,530000
2015,CROYDON SOUTH,600000
2016,CROYDON SOUTH,655000
2017,CROYDON SOUTH,800000
2007,CURLEWIS,-
2008,CURLEWIS,220000
2009,CURLEWIS,220000
2010,CURLEWIS,220000
2011,CURLEWIS,153000
2012,CURLEWIS,153000
2013,CURLEWIS,387000
2014,CURLEWIS,380000
2015,CURLEWIS,381000
2016,CURLEWIS,406500
2017,CURLEWIS,430000
2007,DALLAS,209500
2008,DALLAS,230000
2009,DALLAS,290000
2010,DALLAS,320000
2011,DALLAS,305000
2012,DALLAS,276500
2013,DALLAS,280000
2014,DALLAS,295000
2015,DALLAS,321500
2016,DALLAS,345000
2017,DALLAS,430000
2007,DALYSTON,200000
2008,DALYSTON,230000
2009,DALYSTON,200000
2010,DALYSTON,271000
2011,DALYSTON,281500
2012,DALYSTON,210000
2013,DALYSTON,247500
2014,DALYSTON,260000
2015,DALYSTON,257000
2016,DALYSTON,255000
2017,DALYSTON,273500
2007,DANDENONG,290000
2008,DANDENONG,335000
2009,DANDENONG,346000
2010,DANDENONG,430000
2011,DANDENONG,400500
2012,DANDENONG,400000
2013,DANDENONG,405000
2014,DANDENONG,439000
2015,DANDENONG,484000
2016,DANDENONG,555500
2017,DANDENONG,620000
2007,DANDENONG NORTH,275500
2008,DANDENONG NORTH,310000
2009,DANDENONG NORTH,340000
2010,DANDENONG NORTH,399500
2011,DANDENONG NORTH,395000
2012,DANDENONG NORTH,370000
2013,DANDENONG NORTH,390000
2014,DANDENONG NORTH,415000
2015,DANDENONG NORTH,481000
2016,DANDENONG NORTH,551000
2017,DANDENONG NORTH,630000
2007,DARLEY,249000
2008,DARLEY,232000
2009,DARLEY,256500
2010,DARLEY,330000
2011,DARLEY,325000
2012,DARLEY,340500
2013,DARLEY,330500
2014,DARLEY,360000
2015,DARLEY,377500
2016,DARLEY,373000
2017,DARLEY,432500
2007,DARNUM,205000
2008,DARNUM,275000
2009,DARNUM,207500
2010,DARNUM,213000
2011,DARNUM,224500
2012,DARNUM,255000
2013,DARNUM,280000
2014,DARNUM,235000
2015,DARNUM,346500
2016,DARNUM,295000
2017,DARNUM,300500
2007,DAYLESFORD,256000
2008,DAYLESFORD,266500
2009,DAYLESFORD,290000
2010,DAYLESFORD,372500
2011,DAYLESFORD,351500
2012,DAYLESFORD,384500
2013,DAYLESFORD,385000
2014,DAYLESFORD,400000
2015,DAYLESFORD,445000
2016,DAYLESFORD,452500
2017,DAYLESFORD,501000
2007,DEEPDENE,1435000
2008,DEEPDENE,1287500
2009,DEEPDENE,1790500
2010,DEEPDENE,1930000
2011,DEEPDENE,2046500
2012,DEEPDENE,1875000
2013,DEEPDENE,1981000
2014,DEEPDENE,2215000
2015,DEEPDENE,2800000
2016,DEEPDENE,2600000
2017,DEEPDENE,2862500
2007,DEER PARK,231500
2008,DEER PARK,265000
2009,DEER PARK,306000
2010,DEER PARK,355000
2011,DEER PARK,356000
2012,DEER PARK,345000
2013,DEER PARK,348000
2014,DEER PARK,365000
2015,DEER PARK,390000
2016,DEER PARK,441000
2017,DEER PARK,550500
2007,DELACOMBE,230000
2008,DELACOMBE,229000
2009,DELACOMBE,260000
2010,DELACOMBE,263000
2011,DELACOMBE,278500
2012,DELACOMBE,285000
2013,DELACOMBE,280000
2014,DELACOMBE,292000
2015,DELACOMBE,290000
2016,DELACOMBE,319000
2017,DELACOMBE,325000
2007,DELAHEY,264500
2008,DELAHEY,280000
2009,DELAHEY,310000
2010,DELAHEY,365000
2011,DELAHEY,370000
2012,DELAHEY,360000
2013,DELAHEY,372500
2014,DELAHEY,370000
2015,DELAHEY,400000
2016,DELAHEY,458000
2017,DELAHEY,542500
2007,DENNINGTON,285000
2008,DENNINGTON,305000
2009,DENNINGTON,280000
2010,DENNINGTON,329000
2011,DENNINGTON,349000
2012,DENNINGTON,323500
2013,DENNINGTON,320000
2014,DENNINGTON,315000
2015,DENNINGTON,345000
2016,DENNINGTON,342500
2017,DENNINGTON,345000
2007,DERRIMUT,330000
2008,DERRIMUT,330000
2009,DERRIMUT,367000
2010,DERRIMUT,395000
2011,DERRIMUT,419000
2012,DERRIMUT,408500
2013,DERRIMUT,417000
2014,DERRIMUT,435000
2015,DERRIMUT,466000
2016,DERRIMUT,530000
2017,DERRIMUT,635000
2007,DIAMOND CREEK,401000
2008,DIAMOND CREEK,415000
2009,DIAMOND CREEK,441000
2010,DIAMOND CREEK,515000
2011,DIAMOND CREEK,517500
2012,DIAMOND CREEK,490000
2013,DIAMOND CREEK,513000
2014,DIAMOND CREEK,550000
2015,DIAMOND CREEK,580000
2016,DIAMOND CREEK,645000
2017,DIAMOND CREEK,755000
2007,DIGGERS REST,200000
2008,DIGGERS REST,223000
2009,DIGGERS REST,240000
2010,DIGGERS REST,266500
2011,DIGGERS REST,285000
2012,DIGGERS REST,279000
2013,DIGGERS REST,280000
2014,DIGGERS REST,325000
2015,DIGGERS REST,325000
2016,DIGGERS REST,360000
2017,DIGGERS REST,440500
2007,DIMBOOLA,85000
2008,DIMBOOLA,79000
2009,DIMBOOLA,92500
2010,DIMBOOLA,85500
2011,DIMBOOLA,107500
2012,DIMBOOLA,90000
2013,DIMBOOLA,89000
2014,DIMBOOLA,90500
2015,DIMBOOLA,109500
2016,DIMBOOLA,116000
2017,DIMBOOLA,111000
2007,DINGLEY VILLAGE,415500
2008,DINGLEY VILLAGE,435000
2009,DINGLEY VILLAGE,469500
2010,DINGLEY VILLAGE,553000
2011,DINGLEY VILLAGE,540000
2012,DINGLEY VILLAGE,515000
2013,DINGLEY VILLAGE,553500
2014,DINGLEY VILLAGE,607000
2015,DINGLEY VILLAGE,690000
2016,DINGLEY VILLAGE,775500
2017,DINGLEY VILLAGE,884000
2007,DINNER PLAIN,320000
2008,DINNER PLAIN,560000
2009,DINNER PLAIN,455000
2010,DINNER PLAIN,475000
2011,DINNER PLAIN,450000
2012,DINNER PLAIN,410000
2013,DINNER PLAIN,390000
2014,DINNER PLAIN,309000
2015,DINNER PLAIN,362000
2016,DINNER PLAIN,400000
2017,DINNER PLAIN,412500
2007,DONALD,88000
2008,DONALD,100000
2009,DONALD,92500
2010,DONALD,135000
2011,DONALD,165000
2012,DONALD,104000
2013,DONALD,140000
2014,DONALD,120000
2015,DONALD,125000
2016,DONALD,145000
2017,DONALD,118500
2007,DONCASTER,600000
2008,DONCASTER,617500
2009,DONCASTER,688000
2010,DONCASTER,795000
2011,DONCASTER,770000
2012,DONCASTER,720000
2013,DONCASTER,850000
2014,DONCASTER,999000
2015,DONCASTER,1178000
2016,DONCASTER,1285000
2017,DONCASTER,1386500
2007,DONCASTER EAST,550000
2008,DONCASTER EAST,570000
2009,DONCASTER EAST,630000
2010,DONCASTER EAST,750000
2011,DONCASTER EAST,720000
2012,DONCASTER EAST,683500
2013,DONCASTER EAST,789000
2014,DONCASTER EAST,892000
2015,DONCASTER EAST,1116000
2016,DONCASTER EAST,1226500
2017,DONCASTER EAST,1360000
2007,DONVALE,524500
2008,DONVALE,562500
2009,DONVALE,601000
2010,DONVALE,715000
2011,DONVALE,712500
2012,DONVALE,682000
2013,DONVALE,738000
2014,DONVALE,840000
2015,DONVALE,1000000
2016,DONVALE,1000000
2017,DONVALE,1200000
2007,DOREEN,375000
2008,DOREEN,369000
2009,DOREEN,375000
2010,DOREEN,430000
2011,DOREEN,460000
2012,DOREEN,450000
2013,DOREEN,415000
2014,DOREEN,430000
2015,DOREEN,440000
2016,DOREEN,471500
2017,DOREEN,552500
2007,DOVETON,210500
2008,DOVETON,240000
2009,DOVETON,268500
2010,DOVETON,330000
2011,DOVETON,322000
2012,DOVETON,290000
2013,DOVETON,302000
2014,DOVETON,311500
2015,DOVETON,348000
2016,DOVETON,405000
2017,DOVETON,490000
2007,DROMANA,342000
2008,DROMANA,360000
2009,DROMANA,385000
2010,DROMANA,446500
2011,DROMANA,455000
2012,DROMANA,451000
2013,DROMANA,462000
2014,DROMANA,491000
2015,DROMANA,552000
2016,DROMANA,583000
2017,DROMANA,687500
2007,DROUIN,213000
2008,DROUIN,220500
2009,DROUIN,243000
2010,DROUIN,275500
2011,DROUIN,289000
2012,DROUIN,290000
2013,DROUIN,300000
2014,DROUIN,311000
2015,DROUIN,320000
2016,DROUIN,347000
2017,DROUIN,390000
2007,DRUMCONDRA,554000
2008,DRUMCONDRA,486000
2009,DRUMCONDRA,514000
2010,DRUMCONDRA,715500
2011,DRUMCONDRA,800000
2012,DRUMCONDRA,744000
2013,DRUMCONDRA,802500
2014,DRUMCONDRA,742000
2015,DRUMCONDRA,787500
2016,DRUMCONDRA,777500
2017,DRUMCONDRA,858500
2007,DRYSDALE,289000
2008,DRYSDALE,280000
2009,DRYSDALE,306000
2010,DRYSDALE,355000
2011,DRYSDALE,425000
2012,DRYSDALE,360000
2013,DRYSDALE,387500
2014,DRYSDALE,402500
2015,DRYSDALE,414000
2016,DRYSDALE,409000
2017,DRYSDALE,435000
2007,DUNKELD,164000
2008,DUNKELD,140000
2009,DUNKELD,210000
2010,DUNKELD,180000
2011,DUNKELD,245000
2012,DUNKELD,179000
2013,DUNKELD,210000
2014,DUNKELD,177500
2015,DUNKELD,191500
2016,DUNKELD,207500
2017,DUNKELD,210000
2007,DUNOLLY,135000
2008,DUNOLLY,137500
2009,DUNOLLY,132500
2010,DUNOLLY,120000
2011,DUNOLLY,145000
2012,DUNOLLY,159000
2013,DUNOLLY,182500
2014,DUNOLLY,170000
2015,DUNOLLY,167500
2016,DUNOLLY,180000
2017,DUNOLLY,179000
2007,EAGLE POINT,275000
2008,EAGLE POINT,242000
2009,EAGLE POINT,237000
2010,EAGLE POINT,236000
2011,EAGLE POINT,301500
2012,EAGLE POINT,237000
2013,EAGLE POINT,227000
2014,EAGLE POINT,281500
2015,EAGLE POINT,335000
2016,EAGLE POINT,267500
2017,EAGLE POINT,252500
2007,EAGLEHAWK,190000
2008,EAGLEHAWK,197000
2009,EAGLEHAWK,215000
2010,EAGLEHAWK,226000
2011,EAGLEHAWK,240000
2012,EAGLEHAWK,260000
2013,EAGLEHAWK,264000
2014,EAGLEHAWK,274500
2015,EAGLEHAWK,283000
2016,EAGLEHAWK,265000
2017,EAGLEHAWK,293500
2007,EAGLEMONT,916500
2008,EAGLEMONT,1201500
2009,EAGLEMONT,1455000
2010,EAGLEMONT,1360000
2011,EAGLEMONT,1500000
2012,EAGLEMONT,1343500
2013,EAGLEMONT,1340000
2014,EAGLEMONT,1522500
2015,EAGLEMONT,1730000
2016,EAGLEMONT,1895500
2017,EAGLEMONT,1896000
2007,EAST BAIRNSDALE,162500
2008,EAST BAIRNSDALE,175000
2009,EAST BAIRNSDALE,195000
2010,EAST BAIRNSDALE,195000
2011,EAST BAIRNSDALE,176500
2012,EAST BAIRNSDALE,190000
2013,EAST BAIRNSDALE,226000
2014,EAST BAIRNSDALE,160000
2015,EAST BAIRNSDALE,202500
2016,EAST BAIRNSDALE,212500
2017,EAST BAIRNSDALE,222000
2007,EAST BENDIGO,234500
2008,EAST BENDIGO,217000
2009,EAST BENDIGO,225500
2010,EAST BENDIGO,262500
2011,EAST BENDIGO,266000
2012,EAST BENDIGO,295000
2013,EAST BENDIGO,285000
2014,EAST BENDIGO,330000
2015,EAST BENDIGO,300000
2016,EAST BENDIGO,303500
2017,EAST BENDIGO,340000
2007,EAST GEELONG,320000
2008,EAST GEELONG,321500
2009,EAST GEELONG,334000
2010,EAST GEELONG,400000
2011,EAST GEELONG,402500
2012,EAST GEELONG,395000
2013,EAST GEELONG,449000
2014,EAST GEELONG,427000
2015,EAST GEELONG,440000
2016,EAST GEELONG,512500
2017,EAST GEELONG,596500
2007,EAST MELBOURNE,1525000
2008,EAST MELBOURNE,1650000
2009,EAST MELBOURNE,1680000
2010,EAST MELBOURNE,1621000
2011,EAST MELBOURNE,1737500
2012,EAST MELBOURNE,2480000
2013,EAST MELBOURNE,1790000
2014,EAST MELBOURNE,1850000
2015,EAST MELBOURNE,2750000
2016,EAST MELBOURNE,3655000
2017,EAST MELBOURNE,3520000
2007,EAST WARBURTON,253500
2008,EAST WARBURTON,262000
2009,EAST WARBURTON,250000
2010,EAST WARBURTON,285000
2011,EAST WARBURTON,330000
2012,EAST WARBURTON,282500
2013,EAST WARBURTON,289500
2014,EAST WARBURTON,275000
2015,EAST WARBURTON,305000
2016,EAST WARBURTON,369000
2017,EAST WARBURTON,392500
2007,EASTWOOD,292500
2008,EASTWOOD,320000
2009,EASTWOOD,310000
2010,EASTWOOD,330000
2011,EASTWOOD,334000
2012,EASTWOOD,332000
2013,EASTWOOD,335000
2014,EASTWOOD,342000
2015,EASTWOOD,335000
2016,EASTWOOD,357500
2017,EASTWOOD,380000
2007,ECHUCA,249500
2008,ECHUCA,244500
2009,ECHUCA,255000
2010,ECHUCA,271000
2011,ECHUCA,278000
2012,ECHUCA,270000
2013,ECHUCA,283500
2014,ECHUCA,285000
2015,ECHUCA,297500
2016,ECHUCA,310000
2017,ECHUCA,320000
2007,EDENHOPE,150000
2008,EDENHOPE,167500
2009,EDENHOPE,83000
2010,EDENHOPE,132500
2011,EDENHOPE,100000
2012,EDENHOPE,106000
2013,EDENHOPE,160000
2014,EDENHOPE,130000
2015,EDENHOPE,115000
2016,EDENHOPE,144500
2017,EDENHOPE,160000
2007,EDITHVALE,469000
2008,EDITHVALE,489000
2009,EDITHVALE,485000
2010,EDITHVALE,616000
2011,EDITHVALE,590000
2012,EDITHVALE,625000
2013,EDITHVALE,615000
2014,EDITHVALE,677500
2015,EDITHVALE,771000
2016,EDITHVALE,840000
2017,EDITHVALE,1058500
2007,EILDON,149500
2008,EILDON,152000
2009,EILDON,176000
2010,EILDON,190000
2011,EILDON,180000
2012,EILDON,185000
2013,EILDON,210000
2014,EILDON,205000
2015,EILDON,208500
2016,EILDON,210000
2017,EILDON,227500
2007,ELLIMINYT,240500
2008,ELLIMINYT,276500
2009,ELLIMINYT,256500
2010,ELLIMINYT,335000
2011,ELLIMINYT,260000
2012,ELLIMINYT,323000
2013,ELLIMINYT,332000
2014,ELLIMINYT,313000
2015,ELLIMINYT,318000
2016,ELLIMINYT,364000
2017,ELLIMINYT,366000
2007,ELMORE,130000
2008,ELMORE,122500
2009,ELMORE,162000
2010,ELMORE,182500
2011,ELMORE,188000
2012,ELMORE,160000
2013,ELMORE,184000
2014,ELMORE,176000
2015,ELMORE,200000
2016,ELMORE,220000
2017,ELMORE,162000
2007,ELSTERNWICK,972500
2008,ELSTERNWICK,877500
2009,ELSTERNWICK,985000
2010,ELSTERNWICK,1240000
2011,ELSTERNWICK,1200000
2012,ELSTERNWICK,1145000
2013,ELSTERNWICK,1365000
2014,ELSTERNWICK,1315000
2015,ELSTERNWICK,1615500
2016,ELSTERNWICK,1723500
2017,ELSTERNWICK,2000000
2007,ELTHAM,465000
2008,ELTHAM,505000
2009,ELTHAM,522000
2010,ELTHAM,614000
2011,ELTHAM,625000
2012,ELTHAM,591500
2013,ELTHAM,631500
2014,ELTHAM,670000
2015,ELTHAM,747500
2016,ELTHAM,820000
2017,ELTHAM,928500
2007,ELTHAM NORTH,480000
2008,ELTHAM NORTH,506500
2009,ELTHAM NORTH,496500
2010,ELTHAM NORTH,621000
2011,ELTHAM NORTH,627000
2012,ELTHAM NORTH,580500
2013,ELTHAM NORTH,622000
2014,ELTHAM NORTH,680000
2015,ELTHAM NORTH,758000
2016,ELTHAM NORTH,850500
2017,ELTHAM NORTH,900000
2007,ELWOOD,1040000
2008,ELWOOD,1080000
2009,ELWOOD,1120000
2010,ELWOOD,1350000
2011,ELWOOD,1150000
2012,ELWOOD,1287500
2013,ELWOOD,1346000
2014,ELWOOD,1412500
2015,ELWOOD,1630000
2016,ELWOOD,1841500
2017,ELWOOD,1877500
2007,EMERALD,321500
2008,EMERALD,347000
2009,EMERALD,372500
2010,EMERALD,433500
2011,EMERALD,415000
2012,EMERALD,410500
2013,EMERALD,440000
2014,EMERALD,449500
2015,EMERALD,502000
2016,EMERALD,552500
2017,EMERALD,655000
2007,ENDEAVOUR HILLS,294500
2008,ENDEAVOUR HILLS,325500
2009,ENDEAVOUR HILLS,355500
2010,ENDEAVOUR HILLS,400000
2011,ENDEAVOUR HILLS,400000
2012,ENDEAVOUR HILLS,390000
2013,ENDEAVOUR HILLS,400000
2014,ENDEAVOUR HILLS,431500
2015,ENDEAVOUR HILLS,496000
2016,ENDEAVOUR HILLS,550000
2017,ENDEAVOUR HILLS,630000
2007,EPPING,285000
2008,EPPING,305000
2009,EPPING,343000
2010,EPPING,380000
2011,EPPING,385000
2012,EPPING,365000
2013,EPPING,366500
2014,EPPING,386000
2015,EPPING,400000
2016,EPPING,460000
2017,EPPING,565000
2007,EPSOM,260000
2008,EPSOM,250000
2009,EPSOM,260000
2010,EPSOM,275000
2011,EPSOM,325000
2012,EPSOM,315000
2013,EPSOM,322500
2014,EPSOM,345000
2015,EPSOM,340000
2016,EPSOM,340000
2017,EPSOM,352000
2007,ESSENDON,725000
2008,ESSENDON,754000
2009,ESSENDON,790000
2010,ESSENDON,952000
2011,ESSENDON,895000
2012,ESSENDON,920000
2013,ESSENDON,870000
2014,ESSENDON,942000
2015,ESSENDON,1222000
2016,ESSENDON,1349000
2017,ESSENDON,1401000
2007,ESSENDON NORTH,469000
2008,ESSENDON NORTH,610000
2009,ESSENDON NORTH,651000
2010,ESSENDON NORTH,850000
2011,ESSENDON NORTH,875500
2012,ESSENDON NORTH,686000
2013,ESSENDON NORTH,725000
2014,ESSENDON NORTH,840000
2015,ESSENDON NORTH,808000
2016,ESSENDON NORTH,875000
2017,ESSENDON NORTH,1175000
2007,ESSENDON WEST,525500
2008,ESSENDON WEST,625000
2009,ESSENDON WEST,680000
2010,ESSENDON WEST,745000
2011,ESSENDON WEST,742500
2012,ESSENDON WEST,720000
2013,ESSENDON WEST,720000
2014,ESSENDON WEST,785000
2015,ESSENDON WEST,920000
2016,ESSENDON WEST,962500
2017,ESSENDON WEST,1252000
2007,EUMEMMERRING,230000
2008,EUMEMMERRING,290000
2009,EUMEMMERRING,320000
2010,EUMEMMERRING,378000
2011,EUMEMMERRING,350000
2012,EUMEMMERRING,327500
2013,EUMEMMERRING,353000
2014,EUMEMMERRING,365000
2015,EUMEMMERRING,415000
2016,EUMEMMERRING,450500
2017,EUMEMMERRING,514500
2007,EUREKA,197500
2008,EUREKA,195000
2009,EUREKA,241000
2010,EUREKA,245000
2011,EUREKA,257500
2012,EUREKA,237000
2013,EUREKA,243500
2014,EUREKA,259000
2015,EUREKA,247500
2016,EUREKA,275000
2017,EUREKA,251500
2007,EUROA,170000
2008,EUROA,183500
2009,EUROA,175000
2010,EUROA,167000
2011,EUROA,185000
2012,EUROA,215000
2013,EUROA,208000
2014,EUROA,230000
2015,EUROA,235500
2016,EUROA,265000
2017,EUROA,239000
2007,EYNESBURY,191000
2008,EYNESBURY,248000
2009,EYNESBURY,525000
2010,EYNESBURY,295000
2011,EYNESBURY,360000
2012,EYNESBURY,400000
2013,EYNESBURY,390500
2014,EYNESBURY,390000
2015,EYNESBURY,403500
2016,EYNESBURY,459000
2017,EYNESBURY,484000
2007,FAIRFIELD,692000
2008,FAIRFIELD,660000
2009,FAIRFIELD,677500
2010,FAIRFIELD,810000
2011,FAIRFIELD,800000
2012,FAIRFIELD,825000
2013,FAIRFIELD,917500
2014,FAIRFIELD,945000
2015,FAIRFIELD,1111500
2016,FAIRFIELD,1325000
2017,FAIRFIELD,1461000
2007,FAIRHAVEN,635000
2008,FAIRHAVEN,755000
2009,FAIRHAVEN,725000
2010,FAIRHAVEN,866000
2011,FAIRHAVEN,715000
2012,FAIRHAVEN,990000
2013,FAIRHAVEN,785000
2014,FAIRHAVEN,955000
2015,FAIRHAVEN,897500
2016,FAIRHAVEN,1052500
2017,FAIRHAVEN,880000
2007,FAWKNER,300500
2008,FAWKNER,344000
2009,FAWKNER,385000
2010,FAWKNER,460000
2011,FAWKNER,439000
2012,FAWKNER,407500
2013,FAWKNER,409500
2014,FAWKNER,444000
2015,FAWKNER,510000
2016,FAWKNER,587500
2017,FAWKNER,704500
2007,FERNTREE GULLY,318500
2008,FERNTREE GULLY,350000
2009,FERNTREE GULLY,380000
2010,FERNTREE GULLY,449000
2011,FERNTREE GULLY,430500
2012,FERNTREE GULLY,429500
2013,FERNTREE GULLY,451000
2014,FERNTREE GULLY,505000
2015,FERNTREE GULLY,599000
2016,FERNTREE GULLY,660000
2017,FERNTREE GULLY,749000
2007,FERNY CREEK,400000
2008,FERNY CREEK,459000
2009,FERNY CREEK,475000
2010,FERNY CREEK,580000
2011,FERNY CREEK,525000
2012,FERNY CREEK,456000
2013,FERNY CREEK,497500
2014,FERNY CREEK,492500
2015,FERNY CREEK,621000
2016,FERNY CREEK,750000
2017,FERNY CREEK,798000
2007,FINGAL,642000
2008,FINGAL,485000
2009,FINGAL,520000
2010,FINGAL,515000
2011,FINGAL,700000
2012,FINGAL,600000
2013,FINGAL,677500
2014,FINGAL,730000
2015,FINGAL,857500
2016,FINGAL,840000
2017,FINGAL,980000
2007,FITZROY,722500
2008,FITZROY,756500
2009,FITZROY,780000
2010,FITZROY,810000
2011,FITZROY,880000
2012,FITZROY,900000
2013,FITZROY,945000
2014,FITZROY,1117500
2015,FITZROY,1326000
2016,FITZROY,1485000
2017,FITZROY,1625000
2007,FITZROY NORTH,688000
2008,FITZROY NORTH,720500
2009,FITZROY NORTH,740000
2010,FITZROY NORTH,900000
2011,FITZROY NORTH,855000
2012,FITZROY NORTH,868000
2013,FITZROY NORTH,976000
2014,FITZROY NORTH,1014000
2015,FITZROY NORTH,1180000
2016,FITZROY NORTH,1293000
2017,FITZROY NORTH,1490000
2007,FIVEWAYS,243500
2008,FIVEWAYS,246000
2009,FIVEWAYS,320000
2010,FIVEWAYS,318500
2011,FIVEWAYS,290000
2012,FIVEWAYS,343500
2013,FIVEWAYS,355000
2014,FIVEWAYS,315000
2015,FIVEWAYS,380000
2016,FIVEWAYS,417500
2017,FIVEWAYS,535000
2007,FLEMINGTON,520000
2008,FLEMINGTON,557000
2009,FLEMINGTON,580500
2010,FLEMINGTON,670000
2011,FLEMINGTON,655000
2012,FLEMINGTON,652000
2013,FLEMINGTON,741000
2014,FLEMINGTON,730000
2015,FLEMINGTON,810000
2016,FLEMINGTON,918000
2017,FLEMINGTON,1100000
2007,FLINDERS,655000
2008,FLINDERS,680000
2009,FLINDERS,655000
2010,FLINDERS,760000
2011,FLINDERS,822000
2012,FLINDERS,710000
2013,FLINDERS,765000
2014,FLINDERS,808000
2015,FLINDERS,839000
2016,FLINDERS,1225000
2017,FLINDERS,1525000
2007,FLORA HILL,232000
2008,FLORA HILL,234500
2009,FLORA HILL,225000
2010,FLORA HILL,266000
2011,FLORA HILL,285000
2012,FLORA HILL,309000
2013,FLORA HILL,310000
2014,FLORA HILL,323500
2015,FLORA HILL,321000
2016,FLORA HILL,325000
2017,FLORA HILL,335000
2007,FLOWERDALE,197500
2008,FLOWERDALE,182500
2009,FLOWERDALE,229000
2010,FLOWERDALE,165000
2011,FLOWERDALE,286500
2012,FLOWERDALE,250000
2013,FLOWERDALE,292500
2014,FLOWERDALE,172500
2015,FLOWERDALE,255000
2016,FLOWERDALE,237500
2017,FLOWERDALE,310000
2007,FOOTSCRAY,410000
2008,FOOTSCRAY,441500
2009,FOOTSCRAY,505000
2010,FOOTSCRAY,574000
2011,FOOTSCRAY,568000
2012,FOOTSCRAY,568000
2013,FOOTSCRAY,600000
2014,FOOTSCRAY,645000
2015,FOOTSCRAY,690000
2016,FOOTSCRAY,775000
2017,FOOTSCRAY,891000
2007,FOREST HILL,476000
2008,FOREST HILL,464000
2009,FOREST HILL,503000
2010,FOREST HILL,620000
2011,FOREST HILL,560000
2012,FOREST HILL,565000
2013,FOREST HILL,650500
2014,FOREST HILL,721000
2015,FOREST HILL,890000
2016,FOREST HILL,933500
2017,FOREST HILL,1060000
2007,FOSTER,205000
2008,FOSTER,245000
2009,FOSTER,222000
2010,FOSTER,265000
2011,FOSTER,265000
2012,FOSTER,269500
2013,FOSTER,298000
2014,FOSTER,315000
2015,FOSTER,325000
2016,FOSTER,315000
2017,FOSTER,320000
2007,FRANKSTON,280000
2008,FRANKSTON,302500
2009,FRANKSTON,315000
2010,FRANKSTON,367000
2011,FRANKSTON,357000
2012,FRANKSTON,340000
2013,FRANKSTON,350000
2014,FRANKSTON,372000
2015,FRANKSTON,426000
2016,FRANKSTON,475000
2017,FRANKSTON,600000
2007,FRANKSTON NORTH,210000
2008,FRANKSTON NORTH,227000
2009,FRANKSTON NORTH,237000
2010,FRANKSTON NORTH,280000
2011,FRANKSTON NORTH,277000
2012,FRANKSTON NORTH,245000
2013,FRANKSTON NORTH,255000
2014,FRANKSTON NORTH,269000
2015,FRANKSTON NORTH,297000
2016,FRANKSTON NORTH,352000
2017,FRANKSTON NORTH,470000
2007,FRANKSTON SOUTH,395000
2008,FRANKSTON SOUTH,422500
2009,FRANKSTON SOUTH,453000
2010,FRANKSTON SOUTH,530000
2011,FRANKSTON SOUTH,533500
2012,FRANKSTON SOUTH,510000
2013,FRANKSTON SOUTH,535000
2014,FRANKSTON SOUTH,560000
2015,FRANKSTON SOUTH,619000
2016,FRANKSTON SOUTH,688000
2017,FRANKSTON SOUTH,811000
2007,FRASER RISE,-
2008,FRASER RISE,-
2009,FRASER RISE,-
2010,FRASER RISE,-
2011,FRASER RISE,290000
2012,FRASER RISE,634500
2013,FRASER RISE,442000
2014,FRASER RISE,391000
2015,FRASER RISE,465000
2016,FRASER RISE,483000
2017,FRASER RISE,545000
2007,FYANSFORD,535000
2008,FYANSFORD,535000
2009,FYANSFORD,535000
2010,FYANSFORD,535000
2011,FYANSFORD,425000
2012,FYANSFORD,310000
2013,FYANSFORD,386500
2014,FYANSFORD,478000
2015,FYANSFORD,688000
2016,FYANSFORD,605000
2017,FYANSFORD,637500
2007,GARDEN CITY,800000
2008,GARDEN CITY,896000
2009,GARDEN CITY,900000
2010,GARDEN CITY,1062500
2011,GARDEN CITY,912500
