,Address,Education_Sector,Phone_number,School_Name,School_Type,Suburb
249,"Prospect Hill Road, Narre Warren VIC 3805",Government,03 9703 1187,Fountain Gate Primary School,Primary,Narre Warren
250,"85 Heyers Road, Grovedale VIC 3216",Government,03 5241 4774,Grovedale West Primary School,Primary,Grovedale
251,"47 Staff Street, Moe VIC 3825",Government,03 5127 1744,Baringa Special School,Special,Moe
252,"14 Naranga Crescent, Frankston VIC 3199",Government,03 9788 2222,Naranga Special School,Special,Frankston
253,"Greenaway Drive, Ferntree Gully VIC 3156",Government,03 9763 8055,Kent Park Primary School,Primary,Ferntree Gully
254,"18-36 Mawson Avenue, Deer Park VIC 3023",Government,03 9363 4600,Deer Park North Primary School,Primary,Deer Park
255,"232-246 Greaves St North, Werribee VIC 3030",Government,03 9741 6300,Manorvale Primary School,Primary,Werribee
256,"195 - 227 Carrick Drive, Gladstone Park VIC 3043",Government,03 9338 6083,Gladstone Views Primary School,Primary,Gladstone Park
257,"Dimboola Road, Broadmeadows VIC 3047",Government,03 9309 4066,Broadmeadows Valley Primary School,Primary,Broadmeadows
258,"49-61 Pleasant Road, Bulleen VIC 3105",Government,03 9850 7122,Bulleen Heights School,Special,Bulleen
259,"25 Farm Road, Cheltenham VIC 3192",Government,03 9584 5805,Kingston Heath Primary School,Primary,Cheltenham
260,"1 Tasma Street, Ascot Vale VIC 3032",Government,03 9370 8906,Ascot Vale Special School,Special,Ascot Vale
261,"Galahad Crescent, Glen Waverley VIC 3150",Government,03 9803 5344,Camelot Rise Primary School,Primary,Glen Waverley
262,"2A Laurel Street, St Albans VIC 3021",Government,03 9364 6144,St Albans Meadows Primary School,Primary,St Albans
263,"39-49 Kalinda Road, Ringwood VIC 3134",Government,03 9876 3289,Kalinda Primary School,Primary,Ringwood
264,"399-409 Church Road, Templestowe VIC 3106",Government,03 9846 2700,Templestowe Park Primary School,Primary,Templestowe
265,"63 Fordholm Road, Hampton Park VIC 3976",Government,03 9799 1216,River Gum Primary School,Primary,Hampton Park
266,"Amesbury Avenue, Wantirna VIC 3152",Government,03 9801 3614,Regency Park Primary School,Primary,Wantirna
267,"1-11 Rescorla Avenue, Croydon VIC 3136",Government,03 9725 5038,Dorset Primary School,Primary,Croydon
268,"13-21 Diplomat Drive, Thomastown VIC 3074",Government,03 9466 1322,Thomastown Meadows Primary School,Primary,Thomastown
269,"Franciscan Avenue, Frankston VIC 3199",Government,03 9789 0077,Kingsley Park Primary School,Primary,Frankston
270,"29-59 James Cook Drive, Endeavour Hills VIC 3802",Government,03 9700 2601,James Cook Primary School,Primary,Endeavour Hills
271,"23 Mill Street, Aspendale VIC 3195",Government,03 9580 0384,Yarrabah School,Special,Aspendale
272,"Sassafras Drive, Frankston VIC 3199",Government,03 9789 6844,Frankston Special Developmental School,Special,Frankston
273,"Cnr Nott & Pool Streets, Port Melbourne VIC 3207",Government,03 9646 0855,Port Phillip Specialist School,Special,Port Melbourne
274,"Blamey Avenue, Mill Park VIC 3082",Government,03 9404 3337,Mill Park Primary School,Primary,Mill Park
275,"14-24 Brentwick Drive, Greensborough VIC 3088",Government,03 9432 1022,Diamond Valley Special Developmental School,Special,Greensborough
276,"159-211 Coburns Road, Melton VIC 3337",Government,03 9743 4966,Melton Specialist School,Special,Melton
277,"13-15 Sandown Road, Springvale VIC 3171",Government,03 9546 7666,Springvale Park Special Developmental School,Special,Springvale
278,"81 Warringa Crescent, Hoppers Crossing VIC 3029",Government,03 9749 5774,Warringa Park School,Special,Hoppers Crossing
279,"Tuckers Road, Templestowe VIC 3106",Government,03 9842 8182,Serpell Primary School,Primary,Templestowe
280,"Mcewen Drive, Sunbury VIC 3429",Government,03 9744 4566,Kismet Park Primary School,Primary,Sunbury
281,"31-43 Civic Drive, Greensborough VIC 3088",Government,03 9433 1300,Apollo Parkways Primary School,Primary,Greensborough
282,"10 Corang Avenue, Grovedale VIC 3216",Government,03 5243 0820,Mandama Primary School,Primary,Grovedale
283,"110 Duff Street, Cranbourne VIC 3977",Government,03 5996 2878,Cranbourne West Primary School,Primary,Cranbourne
284,"141 East Road, Seaford VIC 3198",Government,03 9786 5197,Seaford Park Primary School,Primary,Seaford
285,"Crestdale Road, Wantirna VIC 3152",Government,03 9801 7450,Templeton Primary School,Primary,Wantirna
286,"Charter Road East, Sunbury VIC 3429",Government,03 9744 3377,Sunbury Heights Primary School,Primary,Sunbury
287,"110-120 Greenhalghs Road, Delacombe VIC 3356",Government,03 5335 6103,Delacombe Primary School,Primary,Delacombe
288,"Stalwart Avenue, Hastings VIC 3915",Government,03 5979 2654,Wallaroo Primary School,Primary,Hastings
289,"71 Scotsburn Way, Endeavour Hills VIC 3802",Government,03 9709 7777,Mossgiel Park Primary School,Primary,Endeavour Hills
290,"139-145 Mansfield Street, Berwick VIC 3806",Government,03 9707 1766,Berwick Lodge Primary School,Primary,Berwick
291,"127-143 Circular Drive, Sunbury VIC 3429",Government,03 9744 4879,Sunbury And Macedon Ranges Specialist School,Special,Sunbury
292,"16-18 Gertz Ave, Reservoir VIC 3073",Government,03 9462 5990,Northern School For Autism,Special,Reservoir
293,"25 Old White Hill Road, Dromana VIC 3936",Government,03 5987 2649,Peninsula Specialist College,Special,Dromana
294,"Primrose Hill Close, Endeavour Hills VIC 3802",Government,03 9700 4455,Chalcot Lodge Primary School,Primary,Endeavour Hills
295,"14-36 Lesdon Avenue, Cranbourne VIC 3977",Government,03 5996 8900,Rangebank Primary School,Primary,Cranbourne
296,"1-21 David Collins Drive, Endeavour Hills VIC 3802",Government,03 9700 4488,Southern Cross Primary School,Primary,Endeavour Hills
297,"128b Gillespie Road, St Albans VIC 3021",Government,03 9367 6555,Kings Park Primary School,Primary,St Albans
298,"19-21 Victoria Road, Narre Warren VIC 3805",Government,03 9704 4800,Dandenong Valley Special Developmental School,Special,Narre Warren
299,"40 Robertson Drive, Mornington VIC 3931",Government,03 5975 6111,Mornington Special Developmental School,Special,Mornington
300,"102 Hothlyn Drive, Craigieburn VIC 3064",Government,03 9308 3133,Craigieburn South Primary School,Primary,Craigieburn
301,"Cuthbert Drive, Mill Park VIC 3082",Government,03 9404 1362,Findon Primary School,Primary,Mill Park
302,"2-6 Gullane Drive, Sunbury VIC 3429",Government,03 9744 7137,Goonawarra Primary School,Primary,Sunbury
303,"120 Bellbridge Drive, Hoppers Crossing VIC 3029",Government,03 9749 6161,Bellbridge Primary School,Primary,Hoppers Crossing
304,"37-45 Mowbray Crescent, Melton VIC 3337",Government,03 9743 0633,Kurunjang Primary School,Primary,Melton
305,"Cnr Bishop & Gaffney Streets, Coburg VIC 3058",Government,03 9354 4366,Coburg Special Developmental School,Special,Coburg
306,"29 - 35 Dimboola Rd, Broadmeadows VIC 3047",Government,03 9302 1244,Broadmeadows Special Developmental School,Special,Broadmeadows
307,"85 Brighton Street, Richmond VIC 3121",Government,03 9428 1909,Richmond Primary School,Primary,Richmond
308,"68-76 Davison Street, Richmond VIC 3121",Government,03 9428 3286,Yarra Primary School,Primary,Richmond
309,"117 Blackwood Street, Yarraville VIC 3013",Government,03 9314 4919,Yarraville Special Developmental School,Special,Yarraville
310,"Wentworth Avenue, Rowville VIC 3178",Government,03 9752 8555,Park Ridge Primary School,Primary,Rowville
311,"11 Duncan Road, Lalor VIC 3075",Government,03 9464 3011,Merriang Special Developmental School,Special,Lalor
312,"22-48 Meadow Glen Drive, Epping VIC 3076",Government,03 9408 6222,Meadowglen Primary School,Primary,Epping
313,"55 Burke Street, Warragul VIC 3820",Government,03 5623 1385,Warragul & District Specialist School,Special,Warragul
314,"145 Coral Drive, Hampton Park VIC 3976",Government,03 9702 8398,Coral Park Primary School,Primary,Hampton Park
315,"Maramba Drive, Narre Warren VIC 3805",Government,03 9796 7150,Maramba Primary School,Primary,Narre Warren
316,"67-77 Thomas Mitchell Drive, Endeavour Hills VIC 3802",Government,03 9706 2254,Thomas Mitchell Primary School,Primary,Endeavour Hills
317,"Karoo Road, Rowville VIC 3178",Government,03 9759 6222,Karoo Primary School,Primary,Rowville
318,"26-32 Lockwood Road, Kangaroo Flat VIC 3555",Government,03 5447 3267,Bendigo Special Developmental School,Special,Kangaroo Flat
319,"35 Gwendoline Drive, Berwick VIC 3806",Government,03 8786 9988,Berwick Fields Primary School,Primary,Berwick
320,"Bemersyde Drive, Berwick VIC 3806",Government,03 9702 2022,Brentwood Park Primary School,Primary,Berwick
321,"56 Dorset Road, Ferntree Gully VIC 3156",Government,03 9758 3772,Eastern Ranges School,Special,Ferntree Gully
322,"Carruthers Drive, Hoppers Crossing VIC 3029",Government,03 9748 9011,Cambridge Primary School,Primary,Hoppers Crossing
323,"Rowellyn Avenue, Carrum Downs VIC 3201",Government,03 9782 0953,Rowellyn Park Primary School,Primary,Carrum Downs
324,"Sycamore Street, Hoppers Crossing VIC 3029",Government,03 9748 8688,Baden Powell P-9 College,Pri/Sec,Hoppers Crossing
325,"Pindari Avenue, Mill Park VIC 3082",Government,03 9436 8866,Mill Park Heights Primary School,Primary,Mill Park
326,"Dorchester Street, Craigieburn VIC 3064",Government,03 9305 6639,Willmott Park Primary School,Primary,Craigieburn
327,"85 Walls Road, Werribee VIC 3030",Government,03 9741 0200,Thomas Chirnside Primary School,Primary,Werribee
328,"Buckingham Drive, Rowville VIC 3178",Government,03 9764 5533,Heany Park Primary School,Primary,Rowville
329,"Kilberry Boulevard, Hampton Park VIC 3976",Government,03 9702 8688,Kilberry Valley Primary School,Primary,Hampton Park
330,"61 Phillip Drive, Sunbury VIC 3429",Government,03 9744 6432,Killara Primary School,Primary,Sunbury
331,"31-65 John Dory Drive, Ocean Grove VIC 3226",Government,03 5256 1411,Surfside Primary School,Primary,Ocean Grove
332,"79 - 93 Kurrajong Road, Narre Warren VIC 3805",Government,03 9705 6055,Oatlands Primary School,Primary,Narre Warren
333,"Thames Boulevard, Werribee VIC 3030",Government,03 9749 8233,Westgrove Primary School,Primary,Werribee
334,"76 - 94 Laura Avenue, Belmont VIC 3216",Government,03 5243 1813,Barwon Valley School,Special,Belmont
335,"15 Kennedy Road, Pakenham VIC 3810",Government,03 5941 4436,Pakenham Hills Primary School,Primary,Pakenham
336,"22 Wells Road, Seaford VIC 3198",Government,03 9786 6066,Kananook Primary School,Primary,Seaford
337,"77 Argus Street, Cheltenham VIC 3192",Government,03 9583 8342,Le Page Primary School,Primary,Cheltenham
338,"774 High Street Road, Glen Waverley VIC 3150",Government,03 9802 9938,Glen Waverley Primary School,Primary,Glen Waverley
339,"Albany Drive, Mulgrave VIC 3170",Government,03 9547 1146,Albany Rise Primary School,Primary,Mulgrave
340,"39 Darwin Road, Boronia VIC 3155",Government,03 9801 3289,Knox Central Primary School,Primary,Boronia
341,"Marcus Avenue, Mount Waverley VIC 3149",Government,03 9802 3168,Mount Waverley North Primary School,Primary,Mount Waverley
342,"27 Churinga Avenue, Mitcham VIC 3132",Government,03 9874 6381,Rangeview Primary School,Primary,Mitcham
343,"43-81 Browns Road, Noble Park VIC 3174",Government,03 9795 5848,Carwatha College P-12,Pri/Sec,Noble Park
344,"Whites Lane, Glen Waverley VIC 3150",Government,03 9560 6371,Glen Waverley South Primary School,Primary,Glen Waverley
345,"21-33 Mcpherson Boulevard, Roxburgh Park VIC 3064",Government,03 9305 1688,Roxburgh Homestead Primary School,Primary,Roxburgh Park
346,"Morell Street, Glenroy VIC 3046",Government,03 9306 7900,Belle Vue Park Primary School,Primary,Glenroy
347,"159-197 Parkhill Drive, Berwick VIC 3806",Government,03 9704 2744,Timbarra P-9 College,Pri/Sec,Berwick
348,"7-21 Almands Avenue, Roxburgh Park VIC 3064",Government,03 9303 9335,Roxburgh Park Primary School,Primary,Roxburgh Park
349,"261 Racecourse Road, Mornington VIC 3931",Government,03 5973 9100,Benton Junior College,Primary,Mornington
350,"Cnr Lockwood Dr & Bluebird Way, Roxburgh Park VIC 3064",Government,03 9305 4334,Roxburgh Rise Primary School,Primary,Roxburgh Park
351,"365 Harvest Home Road, Epping VIC 3076",Government,03 8468 9000,Harvest Home Primary School,Primary,Epping
352,"72 Viewgrand Drive, Berwick VIC 3806",Government,03 9707 7799,Berwick Chase Primary School,Primary,Berwick
353,"23 Shearwater Drive, Pakenham VIC 3810",Government,03 5940 9532,Pakenham Lakeside Primary School,Primary,Pakenham
354,"5 Livingstone Boulevard, Pakenham VIC 3810",Government,03 5945 7400,Pakenham Springs Primary School,Primary,Pakenham
355,"15 Silky Oak Drive, Cranbourne VIC 3977",Government,03 5991 3600,Cranbourne Carlisle Primary School,Primary,Cranbourne
356,"20 Mansfield Street, Epping VIC 3076",Government,03 8401 3791,Epping Views Primary School,Primary,Epping
357,"39 Violet Grove, Wendouree VIC 3355",Government,03 5339 5555,Yuille Park P-8 Community College,Pri/Sec,Wendouree
358,"51-81 Grevillea Street, Craigieburn VIC 3064",Government,03 8338 3700,Aitken Creek Primary School,Primary,Craigieburn
359,"73-91 Hickford Street, Reservoir VIC 3073",Government,03 9460 6995,Reservoir Views Primary School,Primary,Reservoir
360,"41 Gerbert Street, Broadmeadows VIC 3047",Government,03 9309 2573,Meadows Primary School,Primary,Broadmeadows
361,"134 Kingsway Drive, Lalor VIC 3075",Government,03 9465 1351,Lalor Gardens Primary School,Primary,Lalor
362,"32-52 Wareham Street, Springvale VIC 3171",Government,03 9546 3799,Springvale Rise Primary School,Primary,Springvale
363,"24 Erica Street, Springvale VIC 3171",Government,03 9546 6402,Spring Parks Primary School,Primary,Springvale
364,"Kookaburra Avenue, Werribee VIC 3030",Government,03 9741 4549,Wyndham Park Primary School,Primary,Werribee
365,"10 Logan Street, Glenroy VIC 3046",Government,03 9306 4144,Glenroy Central Primary School,Primary,Glenroy
366,"60 Merrilands Road, Reservoir VIC 3073",Government,03 9460 1668,William Ruthven Primary School,Primary,Reservoir
367,"202-226 Newbury Boulevard, Craigieburn VIC 3064",Government,03 8691 6900,Newbury Primary School,Primary,Craigieburn
368,"805 High Street, Epping VIC 3076",Government,03 9408 6362,Epping Primary School,Primary,Epping
369,"25 Stretton Drive, Torquay VIC 3228",Government,03 5218 5600,Torquay Coast Primary School,Primary,Torquay
370,"141 Henry Road, Pakenham VIC 3810",Government,03 5908 9500,John Henry Primary School,Primary,Pakenham
371,"Cnr Cromwell St/McCutcheon Way, Collingwood VIC 3066",Government,03 9417 6681,Collingwood College,Pri/Sec,Collingwood
372,"2 Rundell Way, Pakenham VIC 3810",Government,03 5941 1511,Pakenham Consolidated School,Primary,Pakenham
373,"315 Clarendon Street, Thornbury VIC 3071",Government,03 8480 0000,Distance Education Centre Victoria,Pri/Sec,Thornbury
374,"315 Clarendon Street, Thornbury VIC 3071",Government,03 9474 0500,Victorian School Of Languages,Pri/Sec,Thornbury
375,"246 Clayton Road, Clayton VIC 3168",Government,03 8572 3100,Monash Children's Hospital School,Special,Clayton
376,"950 South Gippsland Highway, Cranbourne VIC 3977",Government,03 5996 0144,Lyndhurst Secondary College,Secondary,Cranbourne
377,"110 Harrisons Road, Dromana VIC 3936",Government,03 5987 2805,Dromana Secondary College,Secondary,Dromana
378,"19 Wingarra Drive, Grovedale VIC 3216",Government,03 5245 4545,Grovedale College,Secondary,Grovedale
379,"57 - 75 Olympic Parade, Kangaroo Flat VIC 3555",Government,03 5447 7722,Crusoe 7-10 Secondary College,Secondary,Kangaroo Flat
380,"35 Duncan Road, Lalor VIC 3075",Government,03 9464 0122,Peter Lalor Secondary College,Secondary,Lalor
381,"17-19 Nelson Road, Lilydale VIC 3140",Government,03 9735 1133,Lilydale Heights College,Secondary,Lilydale
382,"59 Olympic Avenue, Mount Clear VIC 3353",Government,03 5330 1500,Mount Clear College,Secondary,Mount Clear
383,"62 Murray Road, Preston VIC 3072",Government,03 9478 1333,Northern College of the Arts and Technology,Secondary,Preston
384,"505 Burwood Road, Hawthorn VIC 3122",Government,03 8862 4400,Swinburne Senior Secondary College,Secondary,Hawthorn
385,"101 Shaws Road, Werribee VIC 3030",Government,03 9741 4911,Wyndham Central Secondary College,Secondary,Werribee
386,"55 Laurel Street, Whittlesea VIC 3757",Government,03 9719 1200,Whittlesea Secondary College,Secondary,Whittlesea
387,"14 Orchard Road, Bayswater VIC 3153",Government,03 8720 7555,Bayswater Secondary College,Secondary,Bayswater
388,"117 - 136 Reserve Road, Beaumaris VIC 3193",Government,3,Beaumaris Secondary College,Secondary,Beaumaris
389,"Rotherham Street, Belmont VIC 3216",Government,03 5243 5355,Belmont High School,Secondary,Belmont
390,"Manuka Road, Berwick VIC 3806",Government,03 8768 1000,Berwick Secondary College,Secondary,Berwick
391,"60 Springfield Road, Blackburn VIC 3130",Government,03 8804 6464,Blackburn High School,Secondary,Blackburn
392,"1180 Whitehorse Road, Box Hill VIC 3128",Government,03 9877 1177,Box Hill High School,Secondary,Box Hill
393,"65-71 Watsons Road, Glen Waverley VIC 3150",Government,03 8545 0300,Brentwood Secondary College,Secondary,Glen Waverley
394,"Cooper Street, Essendon VIC 3040",Government,03 9331 9999,Buckley Park College,Secondary,Essendon
395,"Prospect Hill Road, Canterbury VIC 3126",Government,03 9836 0555,Camberwell High School,Secondary,Canterbury
396,"16 Mangarra Road, Canterbury VIC 3126",Government,03 9830 5099,Canterbury Girls Secondary College,Secondary,Canterbury
397,"73-75 Bernard Street, Cheltenham VIC 3192",Government,03 9555 5955,Cheltenham Secondary College,Secondary,Cheltenham
398,"Stawell Street, Cranbourne VIC 3977",Government,03 5996 3544,Cranbourne Secondary College,Secondary,Cranbourne
399,"177-181 Mt Dandenong Road, Croydon VIC 3136",Government,03 9724 2900,Croydon Community School,Secondary,Croydon
400,"167-175 Mt Alexander Road, Flemington VIC 3031",Government,03 9376 1622,Mount Alexander 7-12 College,Secondary,Flemington
401,"123 Church Road, Doncaster VIC 3108",Government,03 9848 4677,Doncaster Secondary College,Secondary,Doncaster
402,"30-60 Withers Way, Eltham VIC 3095",Government,03 9430 5111,Eltham High School,Secondary,Eltham
403,"101 Glenhuntly Road, Elwood VIC 3184",Government,03 9531 9566,Elwood College,Secondary,Elwood
404,"Mcdonalds Road, Epping VIC 3076",Government,03 9401 2599,Epping Secondary College,Secondary,Epping
405,"298 Barkly Street, Footscray VIC 3011",Government,03 9689 4788,Gilmore College For Girls,Secondary,Footscray
406,"97 Foot Street, Frankston VIC 3199",Government,03 9783 7955,Frankston High School,Secondary,Frankston
407,"14 - 36 Taylor Drive, Gladstone Park VIC 3043",Government,03 9933 0500,Gladstone Park Secondary College,Secondary,Gladstone Park
408,"53 Balmoral Avenue, Bundoora VIC 3083",Government,03 9467 1511,Bundoora Secondary College,Secondary,Bundoora
409,"215 High Street, Hastings VIC 3915",Government,03 5979 1577,Western Port Secondary College,Secondary,Hastings
410,"Capital Avenue, Glen Waverley VIC 3150",Government,03 9803 5144,Highvale Secondary College,Secondary,Glen Waverley
411,"405 Racecourse Rd, Kensington VIC 3031",Government,03 9376 1953,Kensington Community High School,Secondary,Kensington
412,"118 David Street, Lalor VIC 3075",Government,03 9463 7300,Lalor Secondary College,Secondary,Lalor
413,"114 Childs Road, Epping VIC 3076",Government,03 9401 3888,Lalor North Secondary College,Secondary,Epping
414,"25 Melba Avenue, Lilydale VIC 3140",Government,03 9735 5644,Lilydale High School,Secondary,Lilydale
415,"Cnr Gleadell & Highett Street, Richmond VIC 3121",Government,03 9428 4421,Lynall Hall Community School,Secondary,Richmond
416,"2 Little Ryrie Street, Geelong VIC 3220",Government,03 4243 0500,Matthew Flinders Girls Secondary College,Secondary,Geelong
417,"Coburns Road, Melton VIC 3337",Government,03 9743 3322,Melton Secondary College,Secondary,Melton
418,"Cnr Balcombe & Charman Rds, Mentone VIC 3194",Government,03 9581 5200,Mentone Girls Secondary College,Secondary,Mentone
419,"Para Road, Montmorency VIC 3094",Government,03 9422 1500,Montmorency Secondary College,Secondary,Montmorency
420,"1 Station Street, Mordialloc VIC 3195",Government,03 9580 1184,Mordialloc College,Secondary,Mordialloc
421,"9 Lechte Road, Mount Waverley VIC 3149",Government,03 9803 6811,Mount Waverley Secondary College,Secondary,Mount Waverley
422,"Byron Street, Ringwood VIC 3134",Government,03 9871 0400,Norwood Secondary College,Secondary,Ringwood
423,"12 Pickett Crescent, Belmont VIC 3216",Government,03 5243 4444,Oberon High School,Secondary,Belmont
424,"1020 Princes Highway, Pakenham VIC 3810",Government,03 5945 1433,Pakenham Secondary College,Secondary,Pakenham
425,"Warren Road, Mordialloc VIC 3195",Government,03 9580 6311,Parkdale Secondary College,Secondary,Mordialloc
426,"Lake Avenue, Pascoe Vale VIC 3044",Government,03 9306 2544,Pascoe Vale Girls Secondary College,Secondary,Pascoe Vale
427,"Bedford Road, Ringwood VIC 3134",Government,03 9870 2002,Ringwood Secondary College,Secondary,Ringwood
428,"6 Gleadell Street, Richmond VIC 3121",Government,03 8396 6399,Richmond High School,Secondary,Richmond
429,"Cavell Street, Scoresby VIC 3179",Government,03 9765 4100,Scoresby Secondary College,Secondary,Scoresby
430,"289 Main Road East, St Albans VIC 3021",Government,03 9366 2555,St Albans Secondary College,Secondary,St Albans
431,"30 Racecourse Road, Sunbury VIC 3429",Government,03 9744 1066,Sunbury College,Secondary,Sunbury
432,"350 Sydney Road, Brunswick VIC 3056",Government,03 9380 9417,Sydney Road Community School,Secondary,Brunswick
433,"80-96 Main Street, Thomastown VIC 3074",Government,03 9465 0844,Thomastown Secondary College,Secondary,Thomastown
434,"77 Story Street, Parkville VIC 3052",Government,03 9347 2022,University High School,Secondary,Parkville
435,"60-70 Donald Cameron Drive, Roxburgh Park VIC 3064",Government,03 9930 8100,Roxburgh College,Secondary,Roxburgh Park
436,"27 - 63 Morack Road, Vermont VIC 3133",Government,03 9873 1077,Vermont Secondary College,Secondary,Vermont
437,"68 Bemersyde Drive, Berwick VIC 3806",Government,03 9707 7600,Kambrya College,Secondary,Berwick
438,"263 McCormicks Road, Carrum Downs VIC 3201",Government,03 9788 9100,Carrum Downs Secondary College,Secondary,Carrum Downs
439,"Harold Street, Wantirna VIC 3152",Government,03 9801 9700,Wantirna College,Secondary,Wantirna
440,"91 Police Road, Mulgrave VIC 3170",Government,03 9547 6822,Wellington Secondary College,Secondary,Mulgrave
441,"45 Duncans Road, Werribee VIC 3030",Government,03 9741 1822,Werribee Secondary College,Secondary,Werribee
442,"76 Pasco Street, Williamstown VIC 3016",Government,03 9397 1899,Williamstown High School,Secondary,Williamstown
443,"102 Hothlyn Drive, Craigieburn VIC 3064",Government,03 9308 1144,Craigieburn Secondary College,Secondary,Craigieburn
444,"855 Plenty Road, Reservoir VIC 3073",Government,03 9466 0900,Reservoir High School,Secondary,Reservoir
445,"58 - 96 Fordholm Road, Hampton Park VIC 3976",Government,03 8795 9400,Hampton Park Secondary College,Secondary,Hampton Park
446,"2 Fraser Street, Hoppers Crossing VIC 3029",Government,03 9974 7777,Hoppers Crossing Secondary College,Secondary,Hoppers Crossing
447,"Kurunjang Drive, Melton VIC 3337",Government,03 9743 9211,Kurunjang Secondary College,Secondary,Melton
448,"148-174 Mitchells Lane, Sunbury VIC 3429",Government,03 9744 0500,Sunbury Downs Secondary College,Secondary,Sunbury
449,"78 - 98 Eel Race Road, Seaford VIC 3198",Government,03 8770 6700,Patterson River Secondary College,Secondary,Seaford
450,"17 Paratea Drive, Rowville VIC 3178",Government,03 9755 4555,Rowville Secondary College,Secondary,Rowville
451,"456 Springfield Road, Mitcham VIC 3132",Government,03 9874 3422,Mullauna Secondary College,Secondary,Mitcham
452,"19 Cambridge Street, Collingwood VIC 3066",Government,03 9419 7633,Collingwood English Language School,Language,Collingwood
453,"21-35 Thomas Street, Noble Park VIC 3174",Government,03 9546 9578,Noble Park English Language School,Language,Noble Park
454,"Nell Street, Greensborough VIC 3088",Government,03 9433 2666,Greensborough Secondary College,Secondary,Greensborough
455,"9 - 25 Moorhead Drive, Mill Park VIC 3082",Government,03 9407 9700,Mill Park Secondary College,Secondary,Mill Park
456,"30 Deloraine Drive, Hoppers Crossing VIC 3029",Government,03 9748 9166,The Grange P-12 College,Pri/Sec,Hoppers Crossing
457,"238 Collins Street, Thornbury VIC 3071",Government,03 9480 4066,Thornbury High School,Secondary,Thornbury
458,"29-69 Kororoit Creek Road, Williamstown VIC 3016",Government,03 9393 5800,Bayside P-12 College,Pri/Sec,Williamstown
459,"1051 Nepean Highway, Mornington VIC 3931",Government,03 5970 0200,Mornington Secondary College,Secondary,Mornington
460,"47 Dawson Street, Brunswick VIC 3056",Government,03 9387 6133,Brunswick Secondary College,Secondary,Brunswick
461,"13-21 O'Sullivan Road, Glen Waverley VIC 3150",Government,03 8805 6700,Glen Waverley Secondary College,Secondary,Glen Waverley
462,"3 Callaghan Street, Noble Park VIC 3174",Government,03 9546 9066,Noble Park Secondary College,Secondary,Noble Park
463,"Yarra Boulevard, Richmond VIC 3121",Government,03 9428 8955,Melbourne Girls College,Secondary,Richmond
464,"72-96 Newark Avenue, Newborough VIC 3825",Government,03 5127 9200,Lowanna College,Secondary,Newborough
465,"Etty Street, Castlemaine VIC 3450",Government,03 5479 1111,Castlemaine Secondary College,Secondary,Castlemaine
466,"55 Burke Street, Warragul VIC 3820",Government,03 5623 9900,Warragul Regional College,Secondary,Warragul
467,"Cnr Forest St And Giot Dve, Wendouree VIC 3355",Government,03 5336 7200,Ballarat Secondary College,Secondary,Wendouree
468,"Belar Avenue, Frankston VIC 3199",Government,03 9789 4544,McClelland Secondary College,Secondary,Frankston
469,"1 Kinnear Street, Footscray VIC 3011",Government,03 8387 1500,Footscray City College,Secondary,Footscray
470,"34 Alkara Avenue, Lara VIC 3212",Government,03 5282 8988,Lara Secondary College,Secondary,Lara
471,"101 Urquhart Street, Coburg VIC 3058",Government,03 9353 1700,Coburg High School,Secondary,Coburg
472,"2-30 Hampton Street, Craigieburn VIC 3064",Government,03 8338 3600,Mount Ridley P-12 College,Pri/Sec,Craigieburn
473,"39 Innovation Walk, Clayton VIC 3800",Government,03 9905 1002,John Monash Science School,Secondary,Clayton
474,"103 A Grieve Parade, Altona VIC 3018",Government,03 9250 8050,Altona P-9 College,Pri/Sec,Altona
475,"92-106 Princes Highway, Dandenong VIC 3175",Government,03 9792 0561,Dandenong High School,Secondary,Dandenong
476,"60-78 Tanderrum Way, Broadmeadows VIC 3047",Government,03 9066 3600,Hume Central Secondary College,Secondary,Broadmeadows
477,"100 Clyde Road, Berwick VIC 3806",Government,03 8762 4600,Nossal High School,Secondary,Berwick
478,"225 Hoppers Lane, Werribee VIC 3030",Government,03 8734 2800,Suzanne Cory High School,Secondary,Werribee
479,"58 Reema Boulevard, Endeavour Hills VIC 3802",Government,03 9708 1319,Gleneagles Secondary College,Secondary,Endeavour Hills
480,"45 Josephine Avenue, Narre Warren VIC 3805",Government,03 8762 6839,Fountain Gate Secondary College,Secondary,Narre Warren
481,"29-47 Stewart Street, Seymour VIC 3660",Government,03 5771 1300,Seymour College,Pri/Sec,Seymour
482,"83 Danks Street, Albert Park VIC 3206",Government,03 8695 9000,Albert Park College,Secondary,Albert Park
483,"5A Jamieson Street, St Albans VIC 3021",Government,03 8312 0200,Victoria University Secondary College,Secondary,St Albans
484,"120 Glenroy Road, Glenroy VIC 3046",Government,03 9304 0400,Glenroy Secondary College,Secondary,Glenroy
485,"Jukes Road, Fawkner VIC 3060",Government,03 9359 1166,John Fawkner Secondary College,Secondary,Fawkner
486,"60 Merrilands Road, Reservoir VIC 3073",Government,03 9462 2177,William Ruthven Secondary College,Secondary,Reservoir
487,"53 - 71 Hertford Street, Sebastopol VIC 3356",Government,03 5329 3293,Phoenix P-12 Community College,Pri/Sec,Sebastopol
488,"3-25 Goldsworthy Road, Corio VIC 3214",Government,03 5224 9700,Northern Bay P-12 College,Pri/Sec,Corio
